1,0.5119,0.5119,1,1,0.8462,1,0.6686,0.8462,1,1,0.5119,1,0.8462,0.8462,1,0.6686,0.8462,1,1,1,1,0.6686,0.26117
0.6686,1,1,1,1,0.8462,1,0.6686,0.8462,0.8462,0.5119,0.8462,1,0.8462,0.8462,1,0.16715,0.5119,0.26117,0.6686,0.8462,1,0.6686,0.6686
1,1,0.5119,1,1,0.8462,1,1,1,1,1,0.8462,1,1,0.8462,1,0.8462,1,0.8462,1,1,1,0.6686,1
0.37609,0.37609,0.6686,1,1,0.26117,1,1,0.5119,0.5119,1,1,1,0.26117,0.8462,1,1,1,1,0.5119,0.5119,0.6686,0.8462,1
0.37609,0.6686,1,1,0.6686,0.26117,1,1,1,0.8462,1,0.8462,1,1,0.8462,0.5119,1,0.5119,0.6686,0.37609,0.37609,1,0.8462,1
0.5119,0.8462,0.5119,0.6686,1,0.8462,1,1,0.37609,1,0.8462,0.5119,0.8462,0.16715,1,0.5119,1,1,0.8462,0.5119,0.6686,0.5119,0.6686,0.16715
1,0.6686,1,1,0.8462,1,0.6686,0.8462,0.8462,1,1,1,1,0.6686,0.6686,1,0.5119,0.6686,1,0.6686,1,1,1,0.8462
1,0.5119,0.8462,1,1,1,0.6686,0.26117,0.8462,1,1,1,1,0.6686,0.37609,0.8462,0.6686,1,1,1,1,0.8462,1,1
0.8462,0.8462,0.37609,0.8462,1,0.5119,1,0.26117,0.6686,1,0.5119,1,0.8462,0.26117,0.5119,0.094022,0.16715,1,0.8462,0.6686,0.8462,0.5119,0.8462,0.6686
0.5119,0.8462,1,1,1,0.8462,1,1,1,1,1,0.8462,0.8462,0.6686,0.37609,1,0.6686,1,0.6686,1,1,0.6686,1,1
